budget,year,interval
8e6,1986,89
6e6,1986,89
15e6,1986,89
185e5,1986,89
9e6,1986,89
6e6,1986,89
25e6,1986,89
6e6,1986,89
9e6,1986,89
15e6,1986,89
88e5,1986,89
16e6,1986,89
6e6,1986,89
25e6,1986,89
15e6,1986,89
17e6,1986,89
1e7,1986,89
25e6,1986,89
27e5,1986,89
35e6,1986,89
2e6,1986,89
11e6,1986,89
47e5,1986,89
15e6,1986,89
25e6,1986,89
25e6,1986,89
19e5,1986,89
25e6,1986,89
25e6,1986,89
245e5,1986,89
138e5,1986,89
6e6,1986,89
1e7,1986,89
3e6,1986,89
25e6,1986,89
4e6,1986,89
1e7,1986,89
45e5,1986,89
18e6,1986,89
19e6,1986,89
11e5,1986,89
111e3,1986,89
18e6,1986,89
64e5,1986,89
14e6,1986,89
85e5,1986,89
6e6,1986,89
5e6,1986,89
12e6,1986,89
6e6,1986,89
65e5,1986,89
2e7,1986,89
15e6,1986,89
12e6,1986,89
18e6,1986,89
175e3,1986,89
87e5,1986,89
12e6,1986,89
11e5,1986,89
1e7,1986,89
18e6,1986,89
5e6,1986,89
25e6,1986,89
4e7,1986,89
1e7,1986,89
12e6,1986,89
2e6,1986,89
14e6,1986,89
85e5,1986,89
18e6,1986,89
8e6,1986,89
33e5,1986,89
15e6,1986,89
4e7,1986,89
13e6,1986,89
17e6,1986,89
16e6,1986,89
2e7,1986,89
6e6,1986,89
4e6,1986,89
18e6,1986,89
25e6,1986,89
17e6,1986,89
14e6,1986,89
3401376,1986,89
1e7,1986,89
2e6,1986,89
18e6,1986,89
15e5,1986,89
16e6,1987,89
1e6,1987,89
3e7,1987,89
6e6,1987,89
15e6,1987,89
27e6,1987,89
227e5,1987,89
13e6,1987,89
15e6,1987,89
25e6,1987,89
36e5,1987,89
22e6,1987,89
12e6,1987,89
14e6,1987,89
3e7,1987,89
15e6,1987,89
35e6,1987,89
22e6,1987,89
45e5,1987,89
23e6,1987,89
25e6,1987,89
3e7,1987,89
6e6,1987,89
17e6,1987,89
6e6,1987,89
27e6,1987,89
15e6,1987,89
28e6,1987,89
23e6,1987,89
13e6,1987,89
26e5,1987,89
11e6,1987,89
3e6,1987,89
65e5,1987,89
5e6,1987,89
15e6,1987,89
2e7,1987,89
25e5,1987,89
17e6,1987,89
35e5,1987,89
3e6,1987,89
12e6,1987,89
12e6,1987,89
2e7,1987,89
18e6,1987,89
1e6,1987,89
14e6,1987,89
3e6,1987,89
6e6,1987,89
15e6,1987,89
16e6,1987,89
3e6,1987,89
17e6,1987,89
29e6,1987,89
6e6,1987,89
27e6,1987,89
5e6,1987,89
18e6,1987,89
4e6,1987,89
55e6,1987,89
1e5,1987,89
22e6,1987,89
35e4,1987,89
4e6,1987,89
24e6,1987,89
5e6,1987,89
9e6,1987,89
7e6,1987,89
1e7,1987,89
6e6,1987,89
53e5,1987,89
1e7,1987,89
352e4,1987,89
13e5,1987,89
25e6,1987,89
11e6,1987,89
75e5,1987,89
3e6,1987,89
1e6,1987,89
1e5,1987,89
8e6,1987,89
58e5,1987,89
19e6,1987,89
5e6,1987,89
75e3,1987,89
12e6,1987,89
11e5,1987,89
5e6,1987,89
4e6,1987,89
15e6,1987,89
14e6,1987,89
12e6,1987,89
15e6,1988,89
39e6,1988,89
9e6,1988,89
28e6,1988,89
