name,count
Argentina,13
Aruba,1
Australia,82
Austria,6
Bahamas,1
Belgium,18
Brazil,6
Canada,150
Chile,4
China,71
Colombia,2
Cuba,1
Czech Republic,8
Denmark,33
Federal Republic of Yugoslavia,1
Finland,3
France,283
Germany,138
Greece,5
Hungary,7
Iceland,1
India,39
Indonesia,2
Iran,12
Ireland,44
Israel,5
Italy,51
Jamaica,1
Japan,68
Kenya,1
Malta,1
Mexico,15
Netherlands,12
New Zealand,18
Norway,8
Palestine,1
Panama,1
Peru,2
Poland,2
Portugal,2
Republic of Macedonia,1
Romania,5
Russia,10
Saudi Arabia,1
South Africa,9
South Korea,20
Soviet Union,1
Spain,56
Sweden,18
Switzerland,6
Thailand,3
United Kingdom,698
Ukraine,1
United States,4872
