year,Average,Max
1986,12749296.359550562,4e7
1987,12696141.304347826,55e6
1988,13168925.61983471,7e7
1989,15565721.649484536,7e7
1990,20418586.20689655,7e7
1991,19830750,102e6
1992,19951914.025210083,8e7
1993,18984198.465648856,85e6
1994,24195930.23255814,115e6
1995,25320772.06617647,175e6
1996,28574351.85714286,1e8
1997,34905671.1409396,2e8
1998,34187854.30463576,14e7
1999,39499724.137931034,17e7
2000,37262208.09248555,14e7
2001,37716091.95402299,14e7
2002,35678573.58469945,142e6
2003,42087806.451612905,2e8
2004,42451827.38095238,2e8
2005,40096576.27118644,207e6
2006,41892261.9047619,225e6
2007,42718e3,3e8
2008,41763387.978142075,225e6
2009,44e6,25e7
2010,47256114.45783132,26e7
2011,46100114.94252873,25e7
2012,46602665.1497006,25e7
2013,49388049.19879518,225e6
2014,43259195.40229885,25e7
2015,43987728.686390534,25e7
2016,52348402.36686391,25e7
